,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
33,M1B,Marital status,Total population 15 years and over by marital status,,,,,,54060.0
34,M1B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,28460.0
35,M1B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,26775.0
36,M1B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1685.0
37,M1B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,25595.0
38,M1B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,18540.0
39,M1B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1835.0
40,M1B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,2765.0
41,M1B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,2455.0
505,M1C,Marital status,Total population 15 years and over by marital status,,,,,,30255.0
506,M1C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,18070.0
507,M1C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,16915.0
508,M1C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1165.0
509,M1C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,12180.0
510,M1C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,8990.0
511,M1C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,630.0
512,M1C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1120.0
513,M1C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1440.0
977,M1G,Marital status,Total population 15 years and over by marital status,,,,,,23950.0
978,M1G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,13000.0
979,M1G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,12190.0
980,M1G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,805.0
981,M1G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,10955.0
982,M1G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7375.0
983,M1G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,830.0
984,M1G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1250.0
985,M1G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1500.0
1449,M1H,Marital status,Total population 15 years and over by marital status,,,,,,19815.0
1450,M1H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,10885.0
1451,M1H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,10030.0
1452,M1H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,850.0
1453,M1H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,8935.0
1454,M1H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,6115.0
1455,M1H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,590.0
1456,M1H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1120.0
1457,M1H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1105.0
1921,M1J,Marital status,Total population 15 years and over by marital status,,,,,,28550.0
1922,M1J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,14520.0
1923,M1J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,13165.0
1924,M1J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1365.0
1925,M1J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,14025.0
1926,M1J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,9530.0
1927,M1J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1140.0
1928,M1J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1680.0
1929,M1J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1675.0
2393,M1K,Marital status,Total population 15 years and over by marital status,,,,,,39020.0
2394,M1K,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,19595.0
2395,M1K,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,17675.0
2396,M1K,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1920.0
2397,M1K,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,19420.0
2398,M1K,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,12970.0
2399,M1K,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1480.0
2400,M1K,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,2655.0
2401,M1K,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,2320.0
2865,M1L,Marital status,Total population 15 years and over by marital status,,,,,,26660.0
2866,M1L,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,14140.0
2867,M1L,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,12720.0
2868,M1L,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1420.0
2869,M1L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,12520.0
2870,M1L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,8500.0
2871,M1L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,900.0
2872,M1L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1575.0
2873,M1L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1545.0
3337,M1M,Marital status,Total population 15 years and over by marital status,,,,,,19220.0
3338,M1M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,10215.0
3339,M1M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,8945.0
3340,M1M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1270.0
3341,M1M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,9010.0
3342,M1M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5865.0
3343,M1M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,620.0
3344,M1M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1220.0
3345,M1M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1300.0
3809,M1N,Marital status,Total population 15 years and over by marital status,,,,,,18360.0
3810,M1N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,9330.0
3811,M1N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7670.0
3812,M1N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1660.0
3813,M1N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,9025.0
3814,M1N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5690.0
3815,M1N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,680.0
3816,M1N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1425.0
3817,M1N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1235.0
4281,M1P,Marital status,Total population 15 years and over by marital status,,,,,,35845.0
4282,M1P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,19455.0
4283,M1P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,17940.0
4284,M1P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1520.0
4285,M1P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,16385.0
4286,M1P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,10615.0
4287,M1P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1095.0
4288,M1P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,2045.0
4289,M1P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,2630.0
4753,M1R,Marital status,Total population 15 years and over by marital status,,,,,,24175.0
4754,M1R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,12645.0
4755,M1R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,11375.0
4756,M1R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1275.0
4757,M1R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,11530.0
4758,M1R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7480.0
4759,M1R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,750.0
